date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:33	7285/7285	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ee42aa163576f8f5640d21832429af4b%22	https://findrealestate.com/_next/static/chunks/5697-0a3cbad00af0547a.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/5697-0a3cbad00af0547adbbc.js	(from https://findrealestate.com/)
22:49:34	38653/38653	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b3e2bf1434742b035051b52f6f421177%22	https://findrealestate.com/_next/static/chunks/7520-8bc82baf1b6e7d4f.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/7520-8bc82baf1b6e7d4fdbbc.js	(from https://findrealestate.com/)
22:49:35	68091/68091	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226ca895f84a4aec6ee0f584a47684afb%22	https://findrealestate.com/_next/static/chunks/9073-23c869e7546049ef.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/9073-23c869e7546049efdbbc.js	(from https://findrealestate.com/)
22:49:36	16141/16141	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e856011d8481c621dc58c83f7842683d%22	https://findrealestate.com/_next/static/chunks/4821-cb989de5c8b8cd44.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/4821-cb989de5c8b8cd44dbbc.js	(from https://findrealestate.com/)
22:49:37	97214/97214	---MCZ	200	added ('OK')	application/javascript	etag:W/%2231543a0bd81a198f87ba28d256168f8d%22	https://findrealestate.com/_next/static/chunks/130-ea41097cd41e920c.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/130-ea41097cd41e920cdbbc.js	(from https://findrealestate.com/)
22:49:38	7813/7813	---MCZ	200	added ('OK')	application/javascript	etag:W/%22aec3d2e21d9c59ec096a2e62a56ad1cd%22	https://findrealestate.com/_next/static/chunks/2619-b8db57ac19da49ac.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/2619-b8db57ac19da49acdbbc.js	(from https://findrealestate.com/)
22:49:39	7017/7017	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cdf00f7f249801f3e6d5b52e7bf81dca%22	https://findrealestate.com/_next/static/chunks/1912-abfb749a7d02dd70.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/1912-abfb749a7d02dd70dbbc.js	(from https://findrealestate.com/)
22:49:40	22300/22300	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c564c248d76f48e2e1f951d9b4b63a71%22	https://findrealestate.com/_next/static/chunks/6348-da34bed15522b681.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/6348-da34bed15522b681dbbc.js	(from https://findrealestate.com/)
22:49:41	8666/8666	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b4934c71cf48bf00c3e2ec9afa74a61e%22	https://findrealestate.com/_next/static/chunks/6965-41765bd5386722b0.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/6965-41765bd5386722b0dbbc.js	(from https://findrealestate.com/)
22:49:42	12126/12126	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e54b08145c0a1eccd0e1072330bc91db%22	https://findrealestate.com/_next/static/chunks/7805-aba9b133174d7b4a.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/7805-aba9b133174d7b4adbbc.js	(from https://findrealestate.com/)
